그룹,품목명,산지대분류,산지중분류,산지품목명,산지대응,산지근거,부류코드,부류명,품목코드,품목명_perDay,품종코드,품종명,소매대응,근거,검수
A,딸기,08,04,딸기,확정,코드표에 같은 이름이 하나뿐이다,200,,226,딸기,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,아보카도,06,34,아보카도,확정,코드표에 같은 이름이 하나뿐이다,400,,430,아보카도,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,연근,11,05,연근,확정,코드표에 같은 이름이 하나뿐이다,200,,217,연근,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,대파,12,02,대파,확정,코드표에 같은 이름이 하나뿐이다,200,,246,,00,,사람판정,"파 > 대파. 27,649건 확인 · 카탈로그 응답 없음",
A,쪽파,12,03,쪽파,확정,코드표에 같은 이름이 하나뿐이다,200,,246,,02,,사람판정,파 > 쪽파. 실파는 품종에 없어 제외 · 카탈로그 응답 없음,
A,마늘,12,09,마늘,확정,코드표에 같은 이름이 하나뿐이다,200,,258,깐마늘(국산),,,사람판정,"깐마늘(국산). 19,964건. 수입(259)은 0건 · 카탈로그 1행 확인",
A,홍고추,12,08,홍고추,확정,코드표에 같은 이름이 하나뿐이다,200,,243,붉은고추,,,사람판정,"붉은고추. 13,872건. 자동 매칭은 풋고추로 오판했다 · 카탈로그 1행 확인",
A,브로콜리,13,06,브로코리(녹색꽃양배추),사람판정,「브로코리(녹색꽃양배추)」 산지 25 · 도매 76건. 13/12 칼리플라워는 콜리플라워로 다른 품목,200,,280,브로콜리,,,사람판정,"14,120건 일반 유통. 261은 유기농·백화점 전용(776건) · 카탈로그 1행 확인",
A,꽈리고추,12,06,꽈리고추,확정,코드표에 같은 이름이 하나뿐이다,200,,242,,02,,사람판정,풋고추 > 꽈리고추. 품목이 아니라 품종 레벨에 있었다 · 카탈로그 응답 없음,
A,참다래,06,11,참다래(키위),사람판정,「참다래(키위)」 산지 29 · 도매 17건. 나머지 후보는 전부 0건,400,,419,참다래,,,사람판정,"키위. 12,747건 · 카탈로그 1행 확인",
A,피망,13,02,피망(단고추),사람판정,「피망(단고추)」 산지 40 · 도매 127건. 13/26 파프리카는 별개 품목이다,200,,255,피망,,,사람판정,"단고추. 12,685건 · 카탈로그 1행 확인",
A,양송이,17,02,양송이,확정,코드표에 같은 이름이 하나뿐이다,300,,321,양송이버섯,,,사람판정,버섯류 · 카탈로그 1행 확인,
B,자두,06,08,자두,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,옥수수,04,01,옥수수,사람판정,잡곡류 산지 123 · 도매 217건. GMO·LMO는 0건,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,치커리,13,03,치커리,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,로메인,13,28,로메인,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,적채,13,05,적채,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,근대,10,14,근대,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,아욱,10,15,아욱,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,비름,10,21,비름,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,고들빼기,10,22,고들빼기,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,고사리,14,02,고사리,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,도라지,14,07,도라지,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,두릅,14,03,두릅,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,머위대,10,24,머위대,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,방풍나물,14,20,방풍나물,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,참당귀,19,03,참당귀,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,숙주나물,10,17,숙주나물,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,새싹,14,24,새싹,사람판정,산채류 산지 17 · 도매 89건. 인삼류(18/08)는 0건,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,쌈추,10,51,쌈추,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,겨자,12,16,겨자,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,공심채,13,39,공심채,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,고수,10,52,고수,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,방아,12,13,방아,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,비타민,13,25,비타민,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,만가닥,17,06,만가닥,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,목이,17,07,목이,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,용과,06,58,용과,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,살구,06,10,살구,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,동부,03,06,동부,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,알로애,13,23,알로애,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
B,식용허브,13,27,식용허브,확정,코드표에 같은 이름이 하나뿐이다,,,,,,,해당없음,perDay 소매 조사 대상이 아니다. 산지↔도매 구간만 비교한다,
