대분류코드,중분류코드,중분류명
19,J2,산두근
19,J3,산사자
19,J4,산자고
19,J5,산장
19,J6,율초
19,J7,삼릉
19,J8,삼칠근
19,J9,상기생
19,K0,상륙
19,K1,상황
19,K2,서장경
19,K3,석곡
19,K4,석류피
19,K5,석위
19,K6,선모
19,K7,금불초
19,K8,선인장
19,K9,선학초
19,L0,소목
19,L1,소백부
19,L2,소합향
19,L3,천금자
19,L4,솔잎
19,L5,쇄양
19,L6,시체
19,L7,신곡
19,L8,아담자
19,L9,동규자
19,M0,운대
19,M1,양유
19,M2,양제근
19,M3,대계
19,M4,여정자
19,M5,여지핵
19,M6,연명초
19,M7,영지
19,M8,오동자
19,M9,옥미수
19,N0,옥죽
19,N1,왕불유행
19,N2,용안육(용안)
19,N3,욱리인
19,N4,운지
19,N5,울금
19,N6,원화
19,N7,유백피
19,N8,육두구
19,N9,육종용(초종용)
19,O0,익지인
19,O1,인삼
19,O2,인진호
19,O3,자미근
19,O4,자삼
19,O5,자오가
19,O6,자원
19,O7,자초
19,O8,자화지정(지정)
19,O9,저근백피
19,P0,저마근
19,P1,저실자
19,P2,적소두
19,P3,정력자
19,P4,조각자
19,P5,조구등
19,P6,호유
19,P7,조휴
19,P8,죽여
19,P9,제채
19,Q0,봉출
19,Q1,지부자
19,Q2,지유
19,Q3,진교
19,Q4,차엽
19,Q5,창이자
19,Q6,천련자
19,Q7,천문동
19,Q8,천오두
19,Q9,천초근
19,R0,청대
19,R1,청상자
19,R2,지금축
19,R3,홍화채
19,R4,초과
19,R5,초두구
19,R6,초오
19,R7,촉규화
19,R8,총백
19,R9,충울자
19,S0,칠리향
19,S1,태자삼
19,S2,택란
19,S3,토복령
19,S4,토사자
19,S5,통초
19,S6,파극천
19,S7,파두
19,S8,핀람근
19,S9,패란
19,T0,패장
19,T1,편축
19,T2,피마자
19,T3,학슬
19,T4,합환피
19,T5,해금사
19,T6,해동피
19,T7,해백
19,T8,향유
19,T9,호도인
19,U0,산다화
19,U1,호로
19,U2,호장근
19,U3,호초(후추)
19,U4,호황련
19,U5,황정
19,U6,흑지마
19,U7,희렴
19,U8,오수유
19,U9,백수오
19,V0,헛개나무
19,V1,초석잠
19,V5,대마
19,V6,황칠나무
19,V7,개오동나무
19,V8,환삼덩굴
19,V9,망초
19,W0,산양삼
19,W2,삽주
19,W3,멀꿀
19,W4,아마
19,W5,산악
19,W6,치커리뿌리(일반)
19,ZZ,기타
20,00,화목류(일반)
20,01,가시나무
20,02,개나리
20,03,겹벚나무
20,04,꽃사과나무
20,05,노각나무
20,06,능소화
20,07,단풍
20,08,동백나무
20,09,등나무
20,10,라일락
20,11,명자나무
20,12,목련
20,13,무궁화
20,14,미선나무
20,15,배롱나무
20,16,백량금
20,17,산사나무
20,18,산수유
20,19,수국
20,20,식나무
20,21,아그배나무
20,22,옥매
20,23,왕벚나무
20,24,이팝나무
20,25,자귀나무
20,26,장미(스탠다드)
20,27,장미(스프레이)
20,28,장미(기타)
20,29,쟈스민
20,30,조팝나무
20,31,진달래
20,32,쪽동백나무
20,33,철쭉
20,34,태산목
20,35,팥배나무
20,36,협죽도
20,37,후박나무
20,38,네드로프
20,39,만리향
20,40,목화
20,41,병솔꽃나무
20,42,브롬페이샤
20,43,실버티카
20,44,아잘레아
20,45,애기사과
20,46,애니카
20,47,야리향
20,48,야향화
20,49,유도화
20,50,자산홍
20,51,천리향
20,52,호즈매화
20,53,연산홍
20,54,백일홍
20,55,치자나무
20,56,부겐빌레아
20,ZZ,기타
21,00,초화류(일반)
21,01,가일라르디아
21,02,가자니아
21,03,개양귀비
21,04,고데치아
21,05,과꽃
21,06,글록시니아
21,07,금어초
21,08,금잔화
21,09,꽃꽈리
21,10,꽃베고니아
21,11,꽃양배추
21,12,꽃호박
21,13,나팔꽃
21,14,네모필라
21,15,누홍초
21,16,니겔라
21,17,데이지
21,18,디기탈리스
21,19,락스퍼
21,20,로단세
21,21,로벨리아
21,22,루드베키아
21,23,루피너스
21,24,리시안서스
21,25,맨드라미
21,26,메리골드
21,27,물망초
21,28,미모사
21,29,백일홍
21,30,버베나
21,31,봉선화
21,32,분꽃
21,33,살비아
21,34,색동호박
21,35,색비름
21,36,석죽
21,37,센토레아
21,38,수세미
21,39,스위트윌리암
21,40,스위트피
21,41,사용불가
21,42,스토케시아
21,43,스토크
21,44,시네나리아
21,45,아게라탐
21,46,양귀비
21,47,어리섬
21,48,엉겅퀴
21,49,여주
21,50,오색고추
21,51,윌플라워
21,52,이베리스
21,53,일일초
21,54,임파티엔스
21,55,접시꽃
21,56,제라늄
21,57,채송화
21,58,천일홍
21,59,칼세오라리아
21,60,캄파뉼라
21,61,코레우스
21,62,코스모스
21,63,코키아
21,64,클레오메
21,65,토레니아
21,66,패랭이
21,67,팬지
21,68,페튜니아
21,69,표주박
21,70,풍선꽃
21,71,프리뮬러
21,72,한련화
21,73,해바라기
21,74,헬리크리섬
21,75,황색코스모스
21,76,금관화
21,77,꽃도라지
21,78,담배꽃
21,79,더모로후세카
21,80,델피늄
21,81,마라고데스
21,82,메디아
21,83,메란포티움
21,84,민들레
21,85,바이올렛
21,86,바코바
21,87,비올라
21,88,샤피니아
21,89,실버레디
21,90,요술꽃
21,91,유리호프스
21,92,이소토마
21,93,줄리안
21,94,짚시
21,95,채소
21,96,패일플라워
21,97,튜울립
21,98,크리산세멈
21,99,샐비어
21,ZZ,기타
22,00,난류(일반)
22,01,덴드로비움
22,02,덴파레
22,03,동양란
22,04,마스데발리야
22,05,밀토니야
22,06,반다
22,07,심비디움
22,08,앙그레컴
22,09,온시디움
22,10,카틀레야
22,11,파피오페딜리움
22,12,팔레높시스
22,13,교배종
22,14,깅기아남
22,15,브라시아
22,16,석곡
22,17,시프리패디움
22,18,지고페달룸
22,19,그라마도필름
22,20,풍난류
22,21,동양심비
22,22,양란
22,ZZ,기타
23,00,선인장/다육식물류(일반)
23,01,거취옥
23,02,경방옥
23,03,금관용
23,04,금자반약
23,05,금황주석화
23,06,금황환철화
23,07,기린관
23,08,길상관
23,09,길상천
23,10,남제옥
23,11,노락
23,12,단모란
23,13,두우각
23,14,두환
23,15,라메리
23,16,락테아
23,17,란봉옥
23,18,마밀라리아
23,19,마신환
23,20,마옥
23,21,만환
23,22,무비옥
23,23,무자선
23,24,백용환
23,25,백조
23,26,벽유리난봉옥
23,27,비모란
23,28,비화옥
23,29,사각란봉옥
23,30,사해파
23,31,산호유동
23,32,삼각주
23,33,선녀무
23,34,설황
23,35,설황철화
23,36,성란옥
23,37,성조다모환
23,38,성화전금
23,39,세설
23,40,소정
23,41,송설
23,42,수전옥
23,43,신천지
23,44,신천지금
23,45,십이지권
23,46,아데니움
23,47,암
23,48,영설황철화
23,49,오베사
23,50,오심령옥
23,51,오팔모피루
23,52,옥옹철화
23,53,올리브옥
23,54,요옥
23,55,욱학
23,56,일출환
23,57,자용두
23,58,자훈
23,59,적성
23,60,정옥
23,61,제관
23,62,존슨단모환
23,63,종귀환
23,64,천대전금
23,65,축옥
23,66,춘금옥
23,67,춘도옥
23,68,춘루
23,69,춘성
23,70,취상
23,71,층운
23,72,코노피튬
23,73,해왕환
23,74,홍대내
23,75,황금동자
23,76,황자춘의관
23,77,황희
23,78,흑잔설
23,79,선인장
23,80,게발선인장
23,81,게아이
23,82,꽃기린
23,83,벨루스
23,84,벽어연
23,85,사해초
23,86,성을녀
23,87,알로에
23,88,하니
23,89,아이스플랜트
23,ZZ,기타
24,00,숙근류(일반)
24,01,거베라
24,02,국화(스탠다드)
24,03,국화(스프레이)
24,04,국화(기타)
24,05,극락조화
24,06,금낭화
24,07,꽃창포
24,08,리아트리스
24,09,마아가리트
24,10,모날다
24,11,세인트폴리아
24,12,수련
24,13,스타티스
24,14,스트럽토카파스
24,15,스트렐리치아
24,16,아가판더스
24,17,아르메리아
24,18,아스틸베
24,19,아퀼레기아
24,20,안개꽃
24,21,앵초
24,22,옥잠화
24,23,용담
24,24,원추리
24,25,작약
24,26,재피란데스
24,27,카네이션(스탠다드)
24,28,카네이션(스프레이)
24,29,카네이션(기타)
24,30,크레마티스
24,31,크리넘
24,32,텔란세라
24,33,트롤리우스
24,34,트리토마
24,35,팜파스그라스
24,36,펜트스테몬
24,37,프록스
24,38,피소스테기아
24,39,헤레니움
24,40,헬리코니아
24,41,고향초
24,42,공작초
24,43,금혼초
24,44,맥문동
24,45,부들
24,46,석창포
24,47,시계초
24,48,아브틸론
24,49,억새
24,50,연꽃
24,51,잔디
24,52,홍화
24,53,클로바
24,54,소리다스터
24,55,비덴스
24,ZZ,기타
25,00,구근류(일반)
25,01,글라디올러스
25,02,글로리오사
25,03,다알리아
25,04,라케나리아
25,05,라넌큐라스
25,06,리코리스
25,07,무스카리
25,08,백합(오리엔탈)
25,09,백합(아시아틱)
25,10,백합(나팔나리)
25,11,백합(기타)
25,12,버비아나
25,13,수선
25,14,스노우드롭
25,15,스노우플레이크
25,16,스테른베르기아
25,17,스파락시스
25,18,시클라멘
25,19,실라
25,20,아네모네
25,21,아마릴리스
25,22,아시단데라
25,23,아이리스
25,24,아키메네스
25,25,알리룸
25,26,알스트로메리아
25,27,오니소갈럼
25,28,익시아
25,29,진저어
25,30,카마시아
25,31,칸나
25,32,칼라
25,33,칼라디움
25,34,콜치쿰
25,35,크로커스
25,36,튜베로우즈
25,37,튜울립
25,38,트리텔리아
25,39,트리토니아
25,40,프리지아
25,41,프리틸라리아
25,42,해오라비난초
25,43,히메노칼리스
25,44,히야신스
25,45,꾸루꾸마
25,46,동설란
25,47,만년청
25,48,상사화
25,ZZ,기타
26,00,관엽식물류(일반)
26,01,고무나무
26,02,군자란
26,03,꽃치자
26,04,네마탄서스
26,05,네프롤레피스
26,06,드라세나
26,07,디지고데카
26,08,디펜바키아
26,09,몬스테라
26,10,베고니아
26,11,부겐빌레아
26,12,뷰카르네아
26,13,산세베리아
26,14,세로페지아
26,15,셀라지넬라
26,16,소철
26,17,홍콩야자
26,18,스킨답서스
26,19,스테파노티스
26,20,스파티필럼
26,21,시써스
26,22,싱고니움
26,23,아글라오네마
26,24,아나나스
26,25,아디안텀
26,26,아라우카리아
26,27,아부틸론
26,28,아스파라거스
26,29,아스플레니움
26,30,아이비
26,31,아칼리파
26,32,아펠란드라
26,33,안스리움
26,34,알로카시아
26,35,애스키난서스
26,36,야자
26,37,옥살리스
26,38,익소라
26,39,접란
26,40,제브리나
26,41,칼라데아
26,42,칼랑코에
26,43,커피나무
26,44,코르딜리네
26,45,콜럼네아
26,46,콜레우스
26,47,쿠페아
26,48,크로톤
26,49,클레로덴드럼
26,50,파키라
26,51,페페로미아
26,52,펜타스
26,53,포인세티아
26,54,폴리시아스
26,55,프테리스
26,56,플라티세리움
26,57,플루메리아
26,58,피토니아
26,59,필레아
26,60,필로덴드론
26,61,하이포에스테스
26,62,헤말리아
26,63,호야
26,64,후쿠시아
26,65,가르시아
26,66,고사리류
